FedEx Express U.S. Package Standard List Rates -- Zone 2,,,,,
"Effective 01/05/2009",,,,,

Weight,FedEx First Overnight,FedEx Priority Overnight,FedEx Standard Overnight,FedEx 2Day,FedEx Express Saver
66,$127.00 ,$102.00 ,$81.80 ,$54.30 ,$46.35 
67,$128.55 ,$103.55 ,$83.00 ,$54.80 ,$47.00 
68,$130.70 ,$105.70 ,$84.50 ,$55.45 ,$47.50 
69,$132.60 ,$107.60 ,$86.00 ,$56.35 ,$48.20 
70,$134.50 ,$109.50 ,$87.75 ,$57.20 ,$48.80 
71,$136.00 ,$111.00 ,$89.50 ,$58.00 ,$49.50 
72,$137.45 ,$112.45 ,$91.30 ,$58.70 ,$50.10 
73,$139.25 ,$114.25 ,$92.55 ,$59.25 ,$50.70 
74,$139.30 ,$114.30 ,$94.35 ,$60.05 ,$51.20 
75,$139.35 ,$114.35 ,$95.80 ,$60.95 ,$51.90 
76,$144.55 ,$119.55 ,$97.25 ,$61.55 ,$52.70 
77,$146.40 ,$121.40 ,$99.05 ,$62.65 ,$53.40 
78,$146.60 ,$121.60 ,$100.55 ,$63.20 ,$54.00 
79,$146.65 ,$121.65 ,$101.80 ,$63.95 ,$54.80 
80,$146.70 ,$121.70 ,$103.20 ,$64.95 ,$55.45 
81,$153.55 ,$128.55 ,$105.00 ,$65.55 ,$56.20 
82,$155.65 ,$130.65 ,$107.45 ,$66.25 ,$56.85 
83,$157.30 ,$132.30 ,$108.90 ,$66.70 ,$57.75 
84,$158.55 ,$133.55 ,$110.10 ,$67.60 ,$58.40 
85,$158.60 ,$133.60 ,$111.90 ,$68.40 ,$59.20 
86,$161.55 ,$136.55 ,$113.00 ,$69.35 ,$59.90 
87,$161.60 ,$136.60 ,$114.30 ,$69.85 ,$60.40 
88,$161.65 ,$136.65 ,$115.45 ,$70.45 ,$61.00 
89,$161.70 ,$136.70 ,$117.25 ,$71.25 ,$61.70 
90,$161.75 ,$136.75 ,$118.45 ,$72.40 ,$62.50 
91,$171.10 ,$146.10 ,$119.65 ,$73.45 ,$63.10 
92,$171.15 ,$146.15 ,$121.40 ,$74.35 ,$63.80 
93,$171.20 ,$146.20 ,$123.20 ,$74.95 ,$64.40 
94,$171.25 ,$146.25 ,$124.35 ,$75.60 ,$65.25 
95,$171.30 ,$146.30 ,$125.90 ,$76.20 ,$65.85 
96,$178.30 ,$153.30 ,$128.00 ,$76.80 ,$66.55 
97,$179.65 ,$154.65 ,$129.15 ,$77.55 ,$67.15 
98,$181.20 ,$156.20 ,$129.90 ,$78.25 ,$67.90 
99,$182.95 ,$157.95 ,$129.95 ,$78.95 ,$67.95 
100,$183.00 ,$158.00 ,$130.00 ,$80.00 ,$68.00 
101,$184.83 ,$159.58 ,$131.30 ,$80.80 ,$68.68 
102,$186.66 ,$161.16 ,$132.60 ,$81.60 ,$69.36 
103,$188.49 ,$162.74 ,$133.90 ,$82.40 ,$70.04 
104,$190.32 ,$164.32 ,$135.20 ,$83.20 ,$70.72 
105,$192.15 ,$165.90 ,$136.50 ,$84.00 ,$71.40 
106,$193.98 ,$167.48 ,$137.80 ,$84.80 ,$72.08 
107,$195.81 ,$169.06 ,$139.10 ,$85.60 ,$72.76 
108,$197.64 ,$170.64 ,$140.40 ,$86.40 ,$73.44 
109,$199.47 ,$172.22 ,$141.70 ,$87.20 ,$74.12 
110,$201.30 ,$173.80 ,$143.00 ,$88.00 ,$74.80 
111,$203.13 ,$175.38 ,$144.30 ,$88.80 ,$75.48 
112,$204.96 ,$176.96 ,$145.60 ,$89.60 ,$76.16 
113,$206.79 ,$178.54 ,$146.90 ,$90.40 ,$76.84 
114,$208.62 ,$180.12 ,$148.20 ,$91.20 ,$77.52 
115,$210.45 ,$181.70 ,$149.50 ,$92.00 ,$78.20 
116,$212.28 ,$183.28 ,$150.80 ,$92.80 ,$78.88 
117,$214.11 ,$184.86 ,$152.10 ,$93.60 ,$79.56 
118,$215.94 ,$186.44 ,$153.40 ,$94.40 ,$80.24 
119,$217.77 ,$188.02 ,$154.70 ,$95.20 ,$80.92 
120,$219.60 ,$189.60 ,$156.00 ,$96.00 ,$81.60 
121,$221.43 ,$191.18 ,$157.30 ,$96.80 ,$82.28 
122,$223.26 ,$192.76 ,$158.60 ,$97.60 ,$82.96 
123,$225.09 ,$194.34 ,$159.90 ,$98.40 ,$83.64 
124,$226.92 ,$195.92 ,$161.20 ,$99.20 ,$84.32 
125,$228.75 ,$197.50 ,$162.50 ,$100.00 ,$85.00 
126,$230.58 ,$199.08 ,$163.80 ,$100.80 ,$85.68 
127,$232.41 ,$200.66 ,$165.10 ,$101.60 ,$86.36 
128,$234.24 ,$202.24 ,$166.40 ,$102.40 ,$87.04 
129,$236.07 ,$203.82 ,$167.70 ,$103.20 ,$87.72 
130,$237.90 ,$205.40 ,$169.00 ,$104.00 ,$88.40 
131,$239.73 ,$206.98 ,$170.30 ,$104.80 ,$89.08 
132,$241.56 ,$208.56 ,$171.60 ,$105.60 ,$89.76 
133,$243.39 ,$210.14 ,$172.90 ,$106.40 ,$90.44 
134,$245.22 ,$211.72 ,$174.20 ,$107.20 ,$91.12 
135,$247.05 ,$213.30 ,$175.50 ,$108.00 ,$91.80 
136,$248.88 ,$214.88 ,$176.80 ,$108.80 ,$92.48 
137,$250.71 ,$216.46 ,$178.10 ,$109.60 ,$93.16 
138,$252.54 ,$218.04 ,$179.40 ,$110.40 ,$93.84 
139,$254.37 ,$219.62 ,$180.70 ,$111.20 ,$94.52 
140,$256.20 ,$221.20 ,$182.00 ,$112.00 ,$95.20 
141,$258.03 ,$222.78 ,$183.30 ,$112.80 ,$95.88 
142,$259.86 ,$224.36 ,$184.60 ,$113.60 ,$96.56 
143,$261.69 ,$225.94 ,$185.90 ,$114.40 ,$97.24 
144,$263.52 ,$227.52 ,$187.20 ,$115.20 ,$97.92 
145,$265.35 ,$229.10 ,$188.50 ,$116.00 ,$98.60 
146,$267.18 ,$230.68 ,$189.80 ,$116.80 ,$99.28 
147,$269.01 ,$232.26 ,$191.10 ,$117.60 ,$99.96 
148,$270.84 ,$233.84 ,$192.40 ,$118.40 ,$100.64 
149,$272.67 ,$235.42 ,$193.70 ,$119.20 ,$101.32 
150,$274.50 ,$237.00 ,$195.00 ,$120.00 ,$102.00 


Multiweight/Per-Pound Standard List Rates (multiply by total shipment weight),,,,,

Weight,FedEx First Overnight,FedEx Priority Overnight,FedEx Standard Overnight,FedEx 2Day,FedEx Express Saver
100-499,$1.83 ,$1.58 ,$1.30 ,$0.80 ,$0.68 
500-999,$1.81 ,$1.56 ,$1.28 ,$0.78 ,$0.66 
1000-1999,$1.79 ,$1.54 ,$1.26 ,$0.76 ,$0.64 
2000+,$1.77 ,$1.52 ,$1.24 ,$0.74 ,$0.62 


FedEx Express U.S. Standard List Rates: FedEx 1Day® Freight,,,,,,,,,,
"Effective 01/05/2009",,,,,,,,,,

Weight,Zone 2,
151-499 lbs.,$0.73 
500-999 lbs.,$0.72 
"1,000-1,999 lbs.",$0.66 
"2,000+ lbs.",$0.63 
Minimum Charge,$69.00 

FedEx Express U.S. Standard List Rates: FedEx 2Day® Freight,,,,,,,,,,
"Effective 01/05/2009",,,,,,,,,,

Weight,Zone 2,
151-499 lbs.,$0.71 
500-999 lbs.,$0.68 
"1,000-1,999 lbs.",$0.62 
"2,000+ lbs.",$0.61 
Minimum Charge,$68.00 

FedEx Express U.S. Standard List Rates: FedEx 3Day® Freight,,,,,,,,,,
"Effective 01/05/2009",,,,,,,,,,

Weight,Zone 2,
151-499 lbs.,$0.70 
500-999 lbs.,$0.64 
"1,000-1,999 lbs.",$0.61 
"2,000+ lbs.",$0.58 
Minimum Charge,$54.00 

See the FedEx Service Guide for additional fee and surcharge information. ,,,,,,,,,,
