FedEx Ground Standard List Rates,,,,,,,,,,
"Effective 01/05/2009",,,,,,,,,,

Weight,US Ground,US Ground,US Ground,US Ground,US Ground,US Ground,US Ground,To Hawaii,To Puerto Rico,Intra Oahu,To Alaska,To Canada,To Canada,From Hawaii,From Hawaii,Intra Alaska,Alaska to US,Alaska to US
,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8,Zone 9,Zone 10,Zone 14,Zone 17,Zone 51,Zone 54,Zone 92,Zone 96,Zone 22,Zone 23,Zone 25
44,$11.69 ,$14.31 ,$16.17 ,$19.48 ,$24.89 ,$29.66 ,$34.85 ,$98.45 ,$98.45 ,$6.70 ,$98.45 ,$45.00 ,$61.95 ,$51.66 ,$58.56 ,$11.57 ,$51.66 ,$58.56 
45,$11.82 ,$14.57 ,$16.47 ,$19.87 ,$25.33 ,$30.26 ,$35.43 ,$100.37 ,$100.37 ,$6.78 ,$100.37 ,$45.70 ,$62.95 ,$52.43 ,$59.54 ,$11.71 ,$52.43 ,$59.54 
46,$11.95 ,$14.80 ,$16.71 ,$20.23 ,$25.72 ,$30.86 ,$36.01 ,$102.30 ,$102.30 ,$6.89 ,$102.30 ,$46.40 ,$63.85 ,$53.21 ,$60.51 ,$11.88 ,$53.21 ,$60.51 
47,$12.08 ,$14.97 ,$16.98 ,$20.61 ,$26.08 ,$31.46 ,$36.59 ,$104.24 ,$104.24 ,$7.00 ,$104.24 ,$47.15 ,$64.85 ,$54.00 ,$61.50 ,$12.03 ,$54.00 ,$61.50 
48,$12.21 ,$15.19 ,$17.24 ,$20.95 ,$26.46 ,$32.06 ,$37.17 ,$106.03 ,$106.03 ,$7.11 ,$106.03 ,$47.90 ,$65.85 ,$54.76 ,$62.46 ,$12.23 ,$54.76 ,$62.46 
49,$12.34 ,$15.38 ,$17.49 ,$21.32 ,$26.81 ,$32.67 ,$37.75 ,$107.87 ,$107.87 ,$7.24 ,$107.87 ,$48.70 ,$66.80 ,$55.54 ,$63.35 ,$12.42 ,$55.54 ,$63.35 
50,$12.46 ,$15.56 ,$17.73 ,$21.63 ,$27.15 ,$33.27 ,$38.33 ,$109.68 ,$109.68 ,$7.38 ,$109.68 ,$49.50 ,$67.75 ,$56.32 ,$64.19 ,$12.62 ,$56.32 ,$64.19 
51,$12.59 ,$15.70 ,$17.97 ,$21.96 ,$27.48 ,$33.84 ,$38.91 ,$111.51 ,$111.51 ,$7.51 ,$111.51 ,$51.00 ,$69.25 ,$57.02 ,$65.03 ,$12.79 ,$57.02 ,$65.03 
52,$12.72 ,$15.83 ,$18.19 ,$22.26 ,$27.82 ,$34.37 ,$39.49 ,$113.33 ,$113.33 ,$7.62 ,$113.33 ,$51.00 ,$69.25 ,$57.66 ,$65.86 ,$13.00 ,$57.66 ,$65.86 
53,$12.85 ,$16.00 ,$18.41 ,$22.55 ,$28.14 ,$34.79 ,$40.07 ,$115.04 ,$115.04 ,$7.78 ,$115.04 ,$52.40 ,$70.60 ,$58.30 ,$66.70 ,$13.18 ,$58.30 ,$66.70 
54,$12.98 ,$16.14 ,$18.65 ,$22.85 ,$28.48 ,$35.11 ,$40.65 ,$116.86 ,$116.86 ,$7.92 ,$116.86 ,$52.40 ,$70.60 ,$58.92 ,$67.51 ,$13.40 ,$58.92 ,$67.51 
55,$13.11 ,$16.28 ,$18.83 ,$23.18 ,$28.81 ,$35.37 ,$41.22 ,$118.68 ,$118.68 ,$8.06 ,$118.68 ,$53.70 ,$72.00 ,$59.56 ,$68.37 ,$13.59 ,$59.56 ,$68.37 
56,$13.23 ,$16.43 ,$19.04 ,$23.51 ,$29.14 ,$35.63 ,$41.80 ,$120.51 ,$120.51 ,$8.21 ,$120.51 ,$53.70 ,$72.00 ,$60.13 ,$69.12 ,$13.80 ,$60.13 ,$69.12 
57,$13.36 ,$16.60 ,$19.24 ,$23.85 ,$29.46 ,$35.90 ,$42.33 ,$122.44 ,$122.44 ,$8.33 ,$122.44 ,$54.80 ,$73.45 ,$60.67 ,$69.81 ,$13.98 ,$60.67 ,$69.81 
58,$13.49 ,$16.78 ,$19.46 ,$24.10 ,$29.79 ,$36.11 ,$42.75 ,$124.25 ,$124.25 ,$8.47 ,$124.25 ,$54.80 ,$73.45 ,$61.23 ,$70.52 ,$14.19 ,$61.23 ,$70.52 
59,$13.62 ,$16.96 ,$19.69 ,$24.33 ,$30.06 ,$36.32 ,$43.07 ,$126.17 ,$126.17 ,$8.63 ,$126.17 ,$56.00 ,$74.80 ,$61.82 ,$71.21 ,$14.37 ,$61.82 ,$71.21 
60,$13.75 ,$17.14 ,$19.91 ,$24.51 ,$30.31 ,$36.50 ,$43.33 ,$128.11 ,$128.11 ,$8.76 ,$128.11 ,$56.00 ,$74.80 ,$62.35 ,$71.91 ,$14.57 ,$62.35 ,$71.91 
