FedEx Ground Retail Counter Rates ,,,,,,,,,,
"Effective 01/05/2009",,,,,,,,,,

,US Ground,US Ground,US Ground,US Ground,US Ground,US Ground,US Ground,To Hawaii,Intra Oahu,To Alaska,From Hawaii,From Hawaii,Intra Alaska,Alaska to US,Alaska to US
Weight,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8,Zone 9,Zone 14,Zone 17,Zone 92,Zone 96,Zone 22,Zone 23,Zone 25
54,$17.04 ,$21.19 ,$24.49 ,$30.01 ,$37.39 ,$46.09 ,$53.36 ,$153.42 ,$10.07 ,$153.42 ,$74.85 ,$85.76 ,$17.02 ,$74.85 ,$85.76 
55,$17.21 ,$21.37 ,$24.72 ,$30.43 ,$37.83 ,$46.44 ,$54.13 ,$155.83 ,$10.23 ,$155.83 ,$75.66 ,$86.84 ,$17.26 ,$75.66 ,$86.84 
56,$17.38 ,$21.57 ,$25.00 ,$30.86 ,$38.26 ,$46.78 ,$54.88 ,$158.22 ,$10.43 ,$158.22 ,$76.38 ,$87.80 ,$17.53 ,$76.38 ,$87.80 
57,$17.54 ,$21.79 ,$25.26 ,$31.31 ,$38.67 ,$47.13 ,$55.57 ,$160.75 ,$10.58 ,$160.75 ,$77.07 ,$88.67 ,$17.76 ,$77.07 ,$88.67 
58,$17.71 ,$22.03 ,$25.55 ,$31.64 ,$39.10 ,$47.40 ,$56.13 ,$163.13 ,$10.76 ,$163.13 ,$77.77 ,$89.58 ,$18.03 ,$77.77 ,$89.58 
59,$17.88 ,$22.27 ,$25.85 ,$31.95 ,$39.46 ,$47.68 ,$56.55 ,$165.65 ,$10.96 ,$165.65 ,$78.54 ,$90.45 ,$18.25 ,$78.54 ,$90.45 
60,$18.04 ,$22.50 ,$26.14 ,$32.18 ,$39.80 ,$47.92 ,$56.89 ,$168.20 ,$11.12 ,$168.20 ,$79.21 ,$91.34 ,$18.51 ,$79.21 ,$91.34 
61,$18.23 ,$22.72 ,$26.41 ,$32.54 ,$40.16 ,$48.20 ,$57.24 ,$170.28 ,$11.29 ,$170.28 ,$79.93 ,$92.16 ,$18.74 ,$79.93 ,$92.16 
62,$18.37 ,$22.90 ,$26.66 ,$32.82 ,$40.45 ,$48.48 ,$57.58 ,$173.10 ,$11.50 ,$173.10 ,$80.67 ,$92.93 ,$18.98 ,$80.67 ,$92.93 
63,$18.52 ,$23.12 ,$26.90 ,$33.10 ,$40.71 ,$48.80 ,$57.92 ,$175.89 ,$11.64 ,$175.89 ,$81.38 ,$93.74 ,$19.24 ,$81.38 ,$93.74 
64,$18.68 ,$23.35 ,$27.18 ,$33.35 ,$40.99 ,$49.13 ,$58.27 ,$178.84 ,$11.82 ,$178.84 ,$82.06 ,$94.50 ,$19.49 ,$82.06 ,$94.50 
