FedEx Express U.S. Package Retail Counter Rates: FedEx Standard Overnight®,,,,,,,,,,
"Effective 01/05/2009",,,,,,,,,,

Weight,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8, Zone 9-10 , Zone 11-12 ,Zone 13-16
79,$109.95 ,$156.45 ,$270.95 ,$295.35 ,$317.95 ,$334.65 ,$352.05 ,$360.90 ,-,$231.80 
80,$111.45 ,$158.90 ,$274.60 ,$299.55 ,$321.45 ,$339.65 ,$354.30 ,$363.20 ,-,$234.60 
81,$113.40 ,$161.75 ,$277.85 ,$303.25 ,$324.65 ,$344.05 ,$360.75 ,$369.80 ,-,$237.80 
82,$116.05 ,$164.25 ,$282.15 ,$307.55 ,$328.95 ,$348.95 ,$365.30 ,$374.45 ,-,$241.00 
83,$117.60 ,$167.00 ,$286.05 ,$310.75 ,$333.25 ,$353.90 ,$370.10 ,$379.40 ,-,$244.20 
84,$118.90 ,$169.55 ,$290.80 ,$314.65 ,$337.10 ,$359.05 ,$374.25 ,$383.65 ,-,$247.30 
85,$120.85 ,$172.30 ,$295.35 ,$318.25 ,$341.20 ,$363.70 ,$378.80 ,$388.30 ,-,$250.40 
86,$122.00 ,$174.75 ,$299.95 ,$322.45 ,$345.35 ,$368.20 ,$383.30 ,$392.90 ,-,$252.70 
87,$123.45 ,$177.55 ,$304.60 ,$326.90 ,$349.40 ,$373.30 ,$387.50 ,$397.20 ,-,$255.80 
88,$124.65 ,$180.40 ,$309.30 ,$330.45 ,$353.25 ,$377.50 ,$392.00 ,$401.80 ,-,$259.40 
89,$126.60 ,$183.15 ,$313.85 ,$333.90 ,$357.60 ,$381.70 ,$396.80 ,$406.75 ,-,$262.50 
90,$127.90 ,$185.60 ,$318.90 ,$337.55 ,$361.50 ,$385.90 ,$401.05 ,$411.10 ,-,$264.40 
91,$129.20 ,$188.40 ,$323.25 ,$341.80 ,$365.40 ,$390.35 ,$405.55 ,$415.70 ,-,$268.60 
92,$131.10 ,$190.55 ,$327.50 ,$346.50 ,$369.75 ,$394.60 ,$410.05 ,$420.35 ,-,$270.20 
93,$133.05 ,$192.80 ,$331.40 ,$350.75 ,$373.95 ,$398.65 ,$414.60 ,$425.00 ,-,$276.30 
94,$134.30 ,$194.90 ,$335.50 ,$354.75 ,$377.95 ,$403.30 ,$418.80 ,$429.30 ,-,$278.50 
95,$135.95 ,$197.10 ,$338.60 ,$358.55 ,$382.30 ,$407.25 ,$423.55 ,$434.15 ,-,$280.20 
96,$138.20 ,$199.25 ,$342.25 ,$362.50 ,$386.60 ,$411.65 ,$427.75 ,$438.45 ,-,$282.40 
97,$139.45 ,$201.45 ,$345.70 ,$366.90 ,$390.45 ,$416.15 ,$432.20 ,$443.05 ,-,$284.00 
98,$140.25 ,$203.65 ,$349.40 ,$370.85 ,$394.75 ,$420.35 ,$436.80 ,$447.75 ,-,$286.20 
99,$140.30 ,$205.45 ,$353.25 ,$374.75 ,$398.65 ,$424.80 ,$441.30 ,$452.35 ,-,$287.70 
100,$141.00 ,$207.00 ,$356.00 ,$378.00 ,$401.00 ,$428.00 ,$444.00 ,$455.00 ,-,$292.00 
101,$142.41 ,$209.07 ,$359.56 ,$381.78 ,$405.01 ,$432.28 ,$448.44 ,$459.55 ,-,$294.92 
102,$143.82 ,$211.14 ,$363.12 ,$385.56 ,$409.02 ,$436.56 ,$452.88 ,$464.10 ,-,$297.84 
