FedEx Express U.S. Package Retail Rates: FedEx Standard Overnight®,,,,,,,,,,
"Effective 1/3/2011",,,,,,,,,,

Weight,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8, Zone 9-10 , Zone 11-12 ,Zone 13-16
106,$167.48 ,$250.16 ,$448.38 ,$477.00 ,$505.62 ,$539.54 ,$558.62 ,$567.10 ,,$367.82 
107,$169.06 ,$252.52 ,$452.61 ,$481.50 ,$510.39 ,$544.63 ,$563.89 ,$572.45 ,,$371.29 
108,$170.64 ,$254.88 ,$456.84 ,$486.00 ,$515.16 ,$549.72 ,$569.16 ,$577.80 ,,$374.76 
109,$172.22 ,$257.24 ,$461.07 ,$490.50 ,$519.93 ,$554.81 ,$574.43 ,$583.15 ,,$378.23 
110,$173.80 ,$259.60 ,$465.30 ,$495.00 ,$524.70 ,$559.90 ,$579.70 ,$588.50 ,,$381.70 
111,$175.38 ,$261.96 ,$469.53 ,$499.50 ,$529.47 ,$564.99 ,$584.97 ,$593.85 ,,$385.17 
112,$176.96 ,$264.32 ,$473.76 ,$504.00 ,$534.24 ,$570.08 ,$590.24 ,$599.20 ,,$388.64 
113,$178.54 ,$266.68 ,$477.99 ,$508.50 ,$539.01 ,$575.17 ,$595.51 ,$604.55 ,,$392.11 
114,$180.12 ,$269.04 ,$482.22 ,$513.00 ,$543.78 ,$580.26 ,$600.78 ,$609.90 ,,$395.58 
115,$181.70 ,$271.40 ,$486.45 ,$517.50 ,$548.55 ,$585.35 ,$606.05 ,$615.25 ,,$399.05 
116,$183.28 ,$273.76 ,$490.68 ,$522.00 ,$553.32 ,$590.44 ,$611.32 ,$620.60 ,,$402.52 
117,$184.86 ,$276.12 ,$494.91 ,$526.50 ,$558.09 ,$595.53 ,$616.59 ,$625.95 ,,$405.99 
118,$186.44 ,$278.48 ,$499.14 ,$531.00 ,$562.86 ,$600.62 ,$621.86 ,$631.30 ,,$409.46 
119,$188.02 ,$280.84 ,$503.37 ,$535.50 ,$567.63 ,$605.71 ,$627.13 ,$636.65 ,,$412.93 
120,$189.60 ,$283.20 ,$507.60 ,$540.00 ,$572.40 ,$610.80 ,$632.40 ,$642.00 ,,$416.40 
121,$191.18 ,$285.56 ,$511.83 ,$544.50 ,$577.17 ,$615.89 ,$637.67 ,$647.35 ,,$419.87 
122,$192.76 ,$287.92 ,$516.06 ,$549.00 ,$581.94 ,$620.98 ,$642.94 ,$652.70 ,,$423.34 
123,$194.34 ,$290.28 ,$520.29 ,$553.50 ,$586.71 ,$626.07 ,$648.21 ,$658.05 ,,$426.81 
124,$195.92 ,$292.64 ,$524.52 ,$558.00 ,$591.48 ,$631.16 ,$653.48 ,$663.40 ,,$430.28 
125,$197.50 ,$295.00 ,$528.75 ,$562.50 ,$596.25 ,$636.25 ,$658.75 ,$668.75 ,,$433.75 
126,$199.08 ,$297.36 ,$532.98 ,$567.00 ,$601.02 ,$641.34 ,$664.02 ,$674.10 ,,$437.22 
127,$200.66 ,$299.72 ,$537.21 ,$571.50 ,$605.79 ,$646.43 ,$669.29 ,$679.45 ,,$440.69 
128,$202.24 ,$302.08 ,$541.44 ,$576.00 ,$610.56 ,$651.52 ,$674.56 ,$684.80 ,,$444.16 
129,$203.82 ,$304.44 ,$545.67 ,$580.50 ,$615.33 ,$656.61 ,$679.83 ,$690.15 ,,$447.63 
130,$205.40 ,$306.80 ,$549.90 ,$585.00 ,$620.10 ,$661.70 ,$685.10 ,$695.50 ,,$451.10 
131,$206.98 ,$309.16 ,$554.13 ,$589.50 ,$624.87 ,$666.79 ,$690.37 ,$700.85 ,,$454.57 
132,$208.56 ,$311.52 ,$558.36 ,$594.00 ,$629.64 ,$671.88 ,$695.64 ,$706.20 ,,$458.04 
133,$210.14 ,$313.88 ,$562.59 ,$598.50 ,$634.41 ,$676.97 ,$700.91 ,$711.55 ,,$461.51 
134,$211.72 ,$316.24 ,$566.82 ,$603.00 ,$639.18 ,$682.06 ,$706.18 ,$716.90 ,,$464.98 
135,$213.30 ,$318.60 ,$571.05 ,$607.50 ,$643.95 ,$687.15 ,$711.45 ,$722.25 ,,$468.45 
136,$214.88 ,$320.96 ,$575.28 ,$612.00 ,$648.72 ,$692.24 ,$716.72 ,$727.60 ,,$471.92 
137,$216.46 ,$323.32 ,$579.51 ,$616.50 ,$653.49 ,$697.33 ,$721.99 ,$732.95 ,,$475.39 
138,$218.04 ,$325.68 ,$583.74 ,$621.00 ,$658.26 ,$702.42 ,$727.26 ,$738.30 ,,$478.86 
139,$219.62 ,$328.04 ,$587.97 ,$625.50 ,$663.03 ,$707.51 ,$732.53 ,$743.65 ,,$482.33 
140,$221.20 ,$330.40 ,$592.20 ,$630.00 ,$667.80 ,$712.60 ,$737.80 ,$749.00 ,,$485.80 
141,$222.78 ,$332.76 ,$596.43 ,$634.50 ,$672.57 ,$717.69 ,$743.07 ,$754.35 ,,$489.27 
142,$224.36 ,$335.12 ,$600.66 ,$639.00 ,$677.34 ,$722.78 ,$748.34 ,$759.70 ,,$492.74 
143,$225.94 ,$337.48 ,$604.89 ,$643.50 ,$682.11 ,$727.87 ,$753.61 ,$765.05 ,,$496.21 
144,$227.52 ,$339.84 ,$609.12 ,$648.00 ,$686.88 ,$732.96 ,$758.88 ,$770.40 ,,$499.68 
145,$229.10 ,$342.20 ,$613.35 ,$652.50 ,$691.65 ,$738.05 ,$764.15 ,$775.75 ,,$503.15 
146,$230.68 ,$344.56 ,$617.58 ,$657.00 ,$696.42 ,$743.14 ,$769.42 ,$781.10 ,,$506.62 
147,$232.26 ,$346.92 ,$621.81 ,$661.50 ,$701.19 ,$748.23 ,$774.69 ,$786.45 ,,$510.09 
148,$233.84 ,$349.28 ,$626.04 ,$666.00 ,$705.96 ,$753.32 ,$779.96 ,$791.80 ,,$513.56 
149,$235.42 ,$351.64 ,$630.27 ,$670.50 ,$710.73 ,$758.41 ,$785.23 ,$797.15 ,,$517.03 
150,$237.00 ,$354.00 ,$634.50 ,$675.00 ,$715.50 ,$763.50 ,$790.50 ,$802.50 ,,$520.50 


Multiweight/Per-Pound Retail Rates (multiply by total shipment weight),,,,,,,,,,
"Effective 1/3/2011",,,,,,,,,,

Weight,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8, Zone 9-10 , Zone 11-12 ,Zone 13-16
100-499,$1.58 ,$2.36 ,$4.23 ,$4.50 ,$4.77 ,$5.09 ,$5.27 ,$5.35 ,,$3.47 
500-999,$1.56 ,$2.34 ,$4.21 ,$4.48 ,$4.75 ,$5.07 ,$5.25 ,$5.33 ,,$3.45 
1000-1999,$1.54 ,$2.32 ,$4.19 ,$4.46 ,$4.73 ,$5.05 ,$5.23 ,$5.31 ,,$3.43 
2000+,$1.52 ,$2.30 ,$4.17 ,$4.44 ,$4.71 ,$5.03 ,$5.21 ,$5.29 ,,$3.41 


Go to fedex.com/us/rates-surcharges for additional fee and surcharge information. ,,,,,,,,,,
